kursen,the course
tuben,the tube
tröjan,the sweater / jumper
byggnaden,the building
skidan,the ski
kvinnan,the woman
världen,the world
pausen,the break
läkaren,the doctor
frukosten,the breakfast
vintern,the winter
djuret,the animal
abonnemanget,the subscription
tandläkaren,the dentist
döden,the death
läraren,the teacher
aprikosen,the apricot
druvan,the grape
hösten,the autumn
telefonen,the telephone
byn,the village
partiet,the part / the party (political)
asken,the (small) box
brodern,the brother
landet,the country
dansen,the dance
ananasen,the pineapple
programmet,the programme
barnet,the child
tiggaren,the beggar
presenten,the present
fabriken,the factory
dataspelet,the computer game
skinkan,the ham
bordet,the table
släkten,the family / relatives
parken,the park
älgen,the elk
paketet,the package
restaurangen,the restaurant
klockan,the clock / the watch
året,the year
golvet,the floor
fastern,the (paternal) aunt
tidningen,the newspaper
benet,the leg
brottet,the crime
kusinen,the cousin
gitarren,the guitar
bussen,the bus
flaskan,the bottle
datorn,the computer
bananen,the banana
puben,the pub
väskan,the bag
våren,the spring (season)
helgen,the weekend
dagen,the day
föräldern,the parent
paprikan,the pepper (bell)
företaget,the business
lunchen,the lunch
huset,the house
gurkan,the cucumber
sonen,the son
flygplatsen,the airport
namnet,the name
arbetet,the job
pojken,the boy
telefonkortet,the phone card
ölet,the beer
apelsinen,the orange
ordet,the word
dörren,the door
kiosken,the kiosk
väninnan,the female friend
meningen,the opinion / sentence / meaning
teveprogrammet,the TV program
grillningen,the barbecue
kexet,the biscuit
kartan,the map
veckan,the week
experimentet,the experiment
vampyren,the vampire
pianot,the piano
sommaren,the summer
täcket,the cover / sheet
pirogen,the pastry
mannen,the man
teven,the TV
radion,the radio
fotbollen,the football
hyllan,the shelf
purjolöken,the leek
resan,the trip / journey
mejlet,the email
systern,the sister
bläckfisken,the octopus
turneringen,the tournament
rummet,the room
päronet,the pear
kollegan,the colleague
strutsfarmen,the ostrich farm
välgörenhetsorganisationen,the charity
biljetten,the ticket
bilden,the image
kompisen,the buddy / mate
biblioteket,the library
äpplet,the apple
gänget,the gang
saken,the thing
tuggummit,the chewing gum
mostern,the (maternal) aunt
timmen,the hour
kameran,the camera
syskonet,the sibling
tomaten,the tomato
vännen,the friend
konserten,the concert
fotot,the photo
pensionären,the pensioner
kanelbullen,the cinnamon bun
burken,the can / pot / jar
annonsen,the advertisement
bilen,the car
MP3-spelaren,The MP3 player
påsen,the plastic bag
mobilen,the mobile phone
flickan,the girl
filten,the blanket / rug
boken,the book
bion,the cinema
spegeln,the mirror
tåget,the train
frun,the woman / the wife
yrket,the profession
fisken,the fish
människan,the person
natten,the night
middagen,the dinner
stugan,the cabin / cottage
farbrorn,the (paternal) uncle
våldet,the violence
tältet,the tent
laxen,the salmon
soffan,the sofa
gymet,the gym / health centre
målet,the objective / goal
innehållet,the content / substance
provet,the test / exam
modersmålet,the mother tongue / native language
valet,the election
riksdagen,the parliament
personalen,the staff
förrätten,the starter / entre
